khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
4Tân Hưng,phường,"Phường Hải Tân, Phường Tân Hưng, Xã Ngọc Sơn, Phường Trần Phú",14.18,Tân Hưng,thành phố Hải Phòng,38794,"Trụ sở cũ của Đảng ủy, HĐND, UBND Hải Tân",14273121
4Dương Kinh,phường,"Phường Hòa Nghĩa, Phường Tân Thành, Phường Anh Dũng, Phường Hải Thành",27.96,Dương Kinh,thành phố Hải Phòng,27339,"Trụ sở cũ của UBND Hải Thành, số 869 đường Phạm Văn Đồng",27361139
4Nam Đồ Sơn,phường,"Phường Minh Đức (quận Đồ Sơn), Phường Bàng La, Phường Hợp Đức, Phường Vạn Hương, Phường Ngọc Xuyên",21.0,Nam Đồ Sơn,thành phố Hải Phòng,30372,"Trụ sở cũ của UBND Hợp Đức, tổ dân phố Đức Hậu",21470817
4Đồ Sơn,phường,"Phường Hải Sơn, Phường Tân Thành, Phường Vạn Hương, Phường Ngọc Xuyên",25.54,Đồ Sơn,thành phố Hải Phòng,36494,"Trụ sở cũ của UBND quận Đồ Sơn, số 195 Lý Thánh Tông",22033574
9Sa Pa,phường,"Phường Hàm Rồng, Phường Ô Quý Hồ, Phường Sa Pả, Phường Cầu Mây, Phường Phan Si Păng, Phường Sa Pa",54.63,Sa Pa,tỉnh Lào Cai,22882,Số 091 Đường Xuân Viên (Trụ sở phường Sa Pa cũ),61000033
4Nam Đồng,phường,"Phường Nam Đồng, Xã Tiền Tiến",19.67,Nam Đồng,thành phố Hải Phòng,24900,"Trụ sở cũ của Đảng ủy, HĐND, UBND Tiền Tiến",19664617
4Tứ Minh,phường,"Xã Cẩm Đoài, Phường Tứ Minh, Thị trấn Lai Cách",14.77,Tứ Minh,thành phố Hải Phòng,30416,"Trụ sở cũ của Huyện ủy, HĐND, UBND huyện Cẩm Giàng",14326074
4Trần Nhân Tông,phường,"Phường Hoàng Tân, Phường Hoàng Tiến, Phường Văn Đức",39.97,Trần Nhân Tông,thành phố Hải Phòng,27053,"Trụ sở cũ của Đảng ủy, HĐND, UBND Hoàng Tân",40330431
4Nguyễn Trãi,phường,"Phường Bến Tắm, Xã Bắc An, Xã Hoàng Hoa Thám",76.28,Nguyễn Trãi,thành phố Hải Phòng,16098,"Trụ sở cũ của Đảng ủy, HĐND, UBND Bến Tắm",76654584
4Trần Hưng Đạo,phường,"Xã Lê Lợi, Xã Hưng Đạo (thành phố Chí Linh), Phường Cộng Hòa",66.89,Trần Hưng Đạo,thành phố Hải Phòng,35932,"Trụ sở cũ của Đảng ủy, HĐND, UBND Cộng Hòa",67086983
4Phạm Sư Mạnh,phường,"Phường Phạm Thái, Phường An Sinh, Phường Hiệp Sơn",22.34,Phạm Sư Mạnh,thành phố Hải Phòng,24919,"Trụ sở cũ của Đảng ủy, HĐND, UBND Hiệp Sơn",22319255
23Ninh Hòa,phường,"Phường Ninh Hiệp, Phường Ninh Đa, Xã Ninh Đông, Xã Ninh Phụng",35.8,Ninh Hòa,tỉnh Khánh Hòa,58816,UBND thị xã Ninh Hòa,36224077
4Lê Đại Hành,phường,"Phường Tân Dân (thành phố Chí Linh), Phường An Lạc, Phường Đồng Lạc",31.62,Lê Đại Hành,thành phố Hải Phòng,24638,"Trụ sở cũ của Đảng ủy, HĐND, UBND Tân Dân",31811468
4Nguyễn Đại Năng,phường,"Phường Thái Thịnh, Phường Hiến Thành, Xã Minh Hòa",17.4,Nguyễn Đại Năng,thành phố Hải Phòng,29083,"Trụ sở cũ của Đảng ủy, HĐND, UBND Hiến Thành",17429818
23Đông Ninh Hòa,phường,"Phường Ninh Diêm, Phường Ninh Hải, Phường Ninh Thủy, Xã Ninh Phước",134.2,Đông Ninh Hòa,tỉnh Khánh Hòa,43484,UBND phường Ninh Diêm,135143881
23Bắc Nha Trang,phường,"Phường Vĩnh Hòa, Phường Vĩnh Hải, Phường Vĩnh Phước, Phường Vĩnh Thọ, Xã Vĩnh Lương, Xã Vĩnh Phương",97.0,Bắc Nha Trang,tỉnh Khánh Hòa,128239,UBND phường Vĩnh Phước - số 422 đường 2 Tháng 4,97320862
23Tây Nha Trang,phường,"Phường Ngọc Hiệp, Phường Phương Sài, Xã Vĩnh Ngọc, Xã Vĩnh Thạnh, Xã Vĩnh Hiệp, Xã Vĩnh Trung",27.9,Tây Nha Trang,tỉnh Khánh Hòa,108065,UBND xã Vĩnh Ngọc - số 480 Lương Định Của,27879295
23Nam Nha Trang,phường,"Phường Phước Hải, Phường Phước Long, Phường Vĩnh Trường, Xã Vĩnh Thái, Xã Phước Đồng",82.2,Nam Nha Trang,tỉnh Khánh Hòa,130164,"UBND xã Vĩnh Thái - KĐT Mỹ Gia, thôn Thủy Tú",81835862
23Bắc Cam Ranh,phường,"Phường Cam Nghĩa, Phường Cam Phúc Bắc, Xã Cam Thành Nam",134.0,Bắc Cam Ranh,tỉnh Khánh Hòa,43644,UBND phường Cam Phúc Bắc,139760247
4Kinh Môn,phường,"Phường An Lưu, Phường Hiệp An, Phường Long Xuyên",11.47,Kinh Môn,thành phố Hải Phòng,24948,"Trụ sở của Thị ủy, HĐND, UBND thị Kinh Môn hiện tại",11574651
23Đô Vinh,phường,"Phường Đô Vinh, Xã Nhơn Sơn",62.0,Đô Vinh,tỉnh Khánh Hòa,33207,UBND phường Đô Vinh ,61833029
23Bảo An,phường,"Phường Phước Mỹ, Phường Bảo An, Xã Thành Hải",18.5,Bảo An,tỉnh Khánh Hòa,45995,BQL đầu tư xây dựng và phát triển quỹ đất tỉnh Ninh Thuận,18472729
261 Bảo Lộc,phường,"Phường 1 (thành phố Bảo Lộc), Phường Lộc Phát, Xã Lộc Thanh",51.46,1 Bảo Lộc,tỉnh Lâm Đồng,55845,đang cập nhật,51582116
263 Bảo Lộc,phường,"Phường Lộc Tiến, Xã Lộc Châu, Xã Đại Lào",108.98,3 Bảo Lộc,tỉnh Lâm Đồng,54445,đang cập nhật,109311587
262 Bảo Lộc,phường,"Phường 2 (thành phố Bảo Lộc), Xã Lộc Tân, Xã ĐamBri",176.72,2 Bảo Lộc,tỉnh Lâm Đồng,49564,đang cập nhật,177209876
26B’Lao,phường,"Phường Lộc Sơn, Phường B’Lao, Xã Lộc Nga",33.77,B’Lao,tỉnh Lâm Đồng,đang cập nhật,UBND phường Lộc Sơn và UBND phường B’Lao,33786988
4An Phong,phường,"Phường An Hòa, Phường Hồng Phong, Phường Đại Bản, Phường Lê Thiện, Phường Tân Tiến, Phường Lê Lợi",27.92,An Phong,thành phố Hải Phòng,44660,"Trụ sở cũ của UBND Hồng Phong, tổ dân phố Đình Ngọ",28043299
10Quan Triều,phường,"Phường Tân Long, Phường Quang Vinh, Phường Quan Triều, Xã Sơn Cẩm",24.72,Quan Triều,tỉnh Thái Nguyên,42292,"Trụ sở Đảng ủy, HĐND, UBND phường Tân Long",24823219
10Phan Đình Phùng,phường,"Phường Trưng Vương, Phường Túc Duyên, Phường Đồng Quang, Phường Quang Trung, Phường Hoàng Văn Thụ, Phường Tân Thịnh, Phường Phan Đình Phùng, Phường Gia Sàng",14.73,Phan Đình Phùng,tỉnh Thái Nguyên,111482,"Trụ sở Đảng ủy, HĐND, UBND",14743145
10Gia Sàng,phường,"Phường Hương Sơn, Xã Đồng Liên, Phường Gia Sàng, Phường Cam Giá",25.47,Gia Sàng,tỉnh Thái Nguyên,44094,"Trụ sở Đảng ủy, HĐND, UBND phường Cam Giá",25717519
10Quyết Thắng,phường,"Phường Thịnh Đán, Xã Phúc Hà, Xã Quyết Thắng",24.43,Quyết Thắng,tỉnh Thái Nguyên,29933,"Trụ sở Đảng ủy, HĐND, UBND phường Thịnh Đán",24579438
10Tích Lương,phường,"Phường Trung Thành (thành phố Thái Nguyên), Phường Phú Xá, Phường Tân Thành, Phường Tân Lập, Phường Tích Lương, Phường Cam Giá",23.56,Tích Lương,tỉnh Thái Nguyên,55278,"Trụ sở Đảng ủy, HĐND, UBND phường Tích Lương",23725654
10Linh Sơn,phường,"Phường Chùa Hang, Phường Đồng Bẩm, Xã Cao Ngạn, Xã Huống Thượng, Xã Linh Sơn",39.28,Linh Sơn,tỉnh Thái Nguyên,46733,"Trụ sở Đảng ủy, HĐND, UBND phường Đồng Bẩm",39428444
10Sông Công,phường,"Phường Thắng Lợi, Phường Phố Cò, Phường Cải Đan",13.98,Sông Công,tỉnh Thái Nguyên,21039,"Trụ sở Đảng ủy, HĐND, UBND Thành ủy Sông Công hiện nay",14090495
10Bách Quang,phường,"Phường Lương Sơn, Phường Bách Quang, Xã Tân Quang",35.02,Bách Quang,tỉnh Thái Nguyên,26668,"Trụ sở Đảng ủy, HĐND, UBND phường Bách Quang",35190238
10Bá Xuyên,phường,"Phường Mỏ Chè, Phường Châu Sơn, Xã Bá Xuyên",21.13,Bá Xuyên,tỉnh Thái Nguyên,20065,"Trụ sở Đảng ủy, HĐND, UBND xã Bá Xuyên",21337842
10Phổ Yên,phường,"Phường Ba Hàng, Phường Hồng Tiến, Phường Bãi Bông, Xã Đắc Sơn",40.7,Phổ Yên,tỉnh Thái Nguyên,49162,"Trụ sở Đảng ủy, HĐND, UBND TP Phổ Yên",41233292
10Phúc Thuận,phường,"Phường Bắc Sơn, Xã Minh Đức, Xã Phúc Thuận",74.16,Phúc Thuận,tỉnh Thái Nguyên,29051,"Trụ sở Đảng ủy, HĐND, UBND phường Bắc Sơn",73681742
4Vĩnh Hòa,phường,"Xã Vĩnh Hòa (huyện Vĩnh Bảo), Xã Hùng Tiến",21.66,Vĩnh Hòa,thành phố Hải Phòng,28176,Trụ sở của UBND Vĩnh Hòa (Hiệp Hòa cũ),21636708
4An Dương,phường,"Phường Nam Sơn (quận An Dương), Phường An Hải, Phường Lê Lợi, Phường Đồng Thái, Phường Tân Tiến, Phường An Hưng",31.23,An Dương,thành phố Hải Phòng,76879,Trung tâm hành chính – chính trị quận An Dương tại số 15 đường 351,32001246
4Lưu Kiếm,phường,"Phường Trần Hưng Đạo (thành phố Thủy Nguyên), Phường Lưu Kiếm, Xã Liên Xuân, Xã Quang Trung (thành phố Thủy Nguyên)",42.17,Lưu Kiếm,thành phố Hải Phòng,49376,Trụ sở của UBND Lưu Kiếm,43462890
4Bạch Đằng,phường,"Phường Minh Đức, Xã Bạch Đằng (thành phố Thủy Nguyên), Phường Phạm Ngũ Lão",53.49,Bạch Đằng,thành phố Hải Phòng,51633,Trụ sở cũ của UBND Minh Đức,53722237
4Hòa Bình,phường,"Phường Hòa Bình, Phường An Lư, Phường Thủy Hà",19.47,Hòa Bình,thành phố Hải Phòng,47168,Trụ sở cũ của UBND An Lư,19555818
10Vạn Xuân,phường,"Phường Nam Tiến, Phường Đồng Tiến, Phường Tân Hương, Phường Tiên Phong",40.2,Vạn Xuân,tỉnh Thái Nguyên,6161,"Trụ sở Đảng ủy, HĐND, UBND phường Nam Tiến",40090642
4Hưng Đạo,phường,"Phường Đa Phúc, Phường Hưng Đạo, Phường Anh Dũng, Phường Hải Thành",18.64,Hưng Đạo,thành phố Hải Phòng,37859,"Trung tâm hành chính quận Dương Kinh, đường Mạc Đăng Doanh",19083545
10Trung Thành,phường,"Phường Trung Thành (thành phố Phổ Yên), Phường Đông Cao, Phường Tân Phú, Phường Thuận Thành",25.84,Trung Thành,tỉnh Thái Nguyên,37075,"Trụ sở Đảng ủy, HĐND, UBND phường Trung Thành",26228230
4Hồng Bàng,phường,"Phường Hoàng Văn Thụ, Phường Minh Khai, Phường Phan Bội Châu, Phường Thượng Lý, Phường Sở Dầu, Phường Hùng Vương, Phường Gia Viên",12.11,Hồng Bàng,thành phố Hải Phòng,113200,"-Số 1 Đinh Tiên Hoàng (trụ sở Sở Tài chính)
-Bộ phận một cửa ở số 203 đường Bạch Đằng",12238502
10Bắc Kạn,phường,"Phường Sông Cầu, Phường Phùng Chí Kiên, Phường Xuất Hóa, Xã Nông Thượng",72.0,Bắc Kạn,tỉnh Thái Nguyên,25387,"Trụ sở Đảng ủy, HĐND, UBND Thành ủy - HĐND - UBND TP Bắc Kạn",76746724
10Đức Xuân,phường,"Phường Nguyễn Thị Minh Khai, Phường Huyền Tụng, Phường Đức Xuân",34.46,Đức Xuân,tỉnh Thái Nguyên,2266,"Trụ sở Đảng ủy, HĐND, UBND tại Sở Tài chính Bắc Kạn cũ",34667153
4Gia Viên,phường,"Phường Đằng Giang, Phường Cầu Đất, Phường Lạch Tray, Phường Gia Viên, Phường Đông Khê",5.01,Gia Viên,thành phố Hải Phòng,102246,"– 212 Lê Lợi (trụ sở cơ quan Đảng)
– Trụ sở của UBND Đằng Giang cũ tại số 1/126 An Đà (trụ sở HĐND-UBND)
– 201 Lạch Tray (Trung tâm phục vụ Hành chính công)",4985886
4An Biên,phường,"Phường An Dương, Phường An Biên, Phường Trần Nguyên Hãn, Phường Vĩnh Niệm",6.56,An Biên,thành phố Hải Phòng,116091,Trụ sở của Đảng ủy – HĐND – UBND Vĩnh Niệm tại số 387 Thiên Lôi,6628038
4Lê Chân,phường,"Phường Hàng Kênh, Phường Dư Hàng Kênh, Phường Kênh Dương, Phường An Biên, Phường Trần Nguyên Hãn, Phường Vĩnh Niệm, Phường Cầu Đất, Phường Lạch Tray",5.65,Lê Chân,thành phố Hải Phòng,161051,"Số 10G, 10H, 10A Hồ Sen",5630876
4Hải An,phường,"Phường Cát Bi, Phường Đằng Lâm, Phường Thành Tô, Phường Đằng Hải, Phường Tràng Cát, Phường Nam Hải, Phường Đông Hải 2",39.99,Hải An,thành phố Hải Phòng,102648,Số 10/15A Lê Hồng Phong (trụ sở Sở Tài chính),35841622
4Kiến An,phường,"Phường Nam Sơn (quận Kiến An), Phường Đồng Hòa, Phường Bắc Sơn, Phường Trần Thành Ngọ, Phường Văn Đẩu",11.18,Kiến An,thành phố Hải Phòng,67236,"Trụ sở cũ của Quận ủy, HĐND, UBND quận Kiến An, số 2 Cao Toàn",11203855
4Thiên Hương,phường,"Phường Thiên Hương, Phường Hoàng Lâm, Phường Lê Hồng Phong, Phường Hoa Động",21.1,Thiên Hương,thành phố Hải Phòng,45140,Trụ sở của UBND Thiên Hương,21149736
7Thục Phán,phường,"Phường Sông Hiến, Phường Đề Thám, Phường Hợp Giang, Xã Hưng Đạo (thành phố Cao Bằng), Xã Hoàng Tung",55.44,Thục Phán,tỉnh Cao Bằng,41157,"Trụ sở Thành uỷ, HĐND và UBND TP Cao Bằng",55254332
7Nùng Trí Cao,phường,"Phường Ngọc Xuân, Phường Sông Bằng, Xã Vĩnh Quang (thành phố Cao Bằng)",29.31,Nùng Trí Cao,tỉnh Cao Bằng,19507,Trụ sở UBND phường Sông Bằng,29452119
7Tân Giang,phường,"Phường Tân Giang, Phường Duyệt Trung, Phường Hòa Chung, Xã Chu Trinh, Xã Lê Chung",84.26,Tân Giang,tỉnh Cao Bằng,18204,"Trụ sở UBND phường Hoà Chung và Trường Trung cấp y (cũ), phường Tân Giang",86651302
4Hồng An,phường,"Phường Quán Toan, Phường An Hồng, Phường An Hưng, Phường Đại Bản, Phường Lê Thiện, Phường Tân Tiến",27.64,Hồng An,thành phố Hải Phòng,64771,Trụ sở UBND phường An Hồng (tổ dân phố Lê Lác 2),27129510
4Lê Ích Mộc,phường,"Phường Quảng Thanh, Phường Lê Hồng Phong, Xã Quang Trung (thành phố Thủy Nguyên)",27.04,Lê Ích Mộc,thành phố Hải Phòng,51853,Trụ sở cũ của UBND Quảng Thanh,26074927
4Phù Liễn,phường,"Phường Bắc Hà, Phường Ngọc Sơn, Thị trấn Trường Sơn, Phường Nam Sơn (quận Kiến An), Phường Đồng Hòa, Phường Bắc Sơn, Phường Trần Thành Ngọ, Phường Văn Đẩu",18.46,Phù Liễn,thành phố Hải Phòng,60733,"Trụ sở cũ của UBND Văn Đẩu, số 618 Nguyễn Lương Bằng",18535370
4An Hải,phường,"Phường An Đồng, Phường Hồng Thái, Phường Lê Lợi, Phường An Hải, Phường Đồng Thái",19.96,An Hải,thành phố Hải Phòng,77086,"Trụ sở cũ của UBND phường Đồng Thái, tổ dân phố Bạch Mai",19974916
23Cam Ranh,phường,"Phường Cam Phú, Phường Cam Lộc, Phường Cam Phúc Nam",17.5,Cam Ranh,tỉnh Khánh Hòa,31237,UBND TP Cam Ranh,25361591
23Ba Ngòi,phường,"Phường Ba Ngòi, Xã Cam Phước Đông",78.2,Ba Ngòi,tỉnh Khánh Hòa,31708,UBND phường Ba Ngòi,79292595
23Cam Linh,phường,"Phường Cam Thuận, Phường Cam Lợi, Phường Cam Linh",4.8,Cam Linh,tỉnh Khánh Hòa,33052,UBND phường Cam Linh,14655092
23Hòa Thắng,phường,"Phường Ninh Giang, Phường Ninh Hà, Xã Ninh Phú",78.6,Hòa Thắng,tỉnh Khánh Hòa,26822,UBND phường Ninh Giang,78692468
23Phan Rang,phường,"Phường Kinh Dinh, Phường Phủ Hà, Phường Đài Sơn, Phường Đạo Long",9.4,Phan Rang,tỉnh Khánh Hòa,7225,UBND TP Phan Rang - Tháp Chàm ,9387725
23Đông Hải,phường,"Phường Mỹ Bình, Phường Mỹ Đông, Phường Mỹ Hải, Phường Đông Hải",11.09,Đông Hải,tỉnh Khánh Hòa,đang cập nhật,Sở Nông nghiệp và Môi trường ,11055020
23Ninh Chử,phường,"Phường Văn Hải, Thị trấn Khánh Hải",20.4,Ninh Chử,tỉnh Khánh Hòa,39556,"Huyện ủy, HĐND, UBND huyện Ninh Hải ",20130430
27Long An,phường,"Phường 1 (thành phố Tân An), Phường 3 (thành phố Tân An), Phường 4, Phường 5, Phường 6, Xã Hướng Thọ Phú, Xã Bình Thạnh (huyện Thủ Thừa)",34.9,Long An,tỉnh Tây Ninh,106667,đang cập nhật,35128573
27Tân An,phường,"Phường 7, Xã Bình Tâm, Xã Nhơn Thạnh Trung, Xã An Vĩnh Ngãi",8.06,Tân An,tỉnh Tây Ninh,85997,đang cập nhật,25669396
27Khánh Hậu,phường,"Phường Tân Khánh, Phường Khánh Hậu, Xã Lợi Bình Nhơn",22.81,Khánh Hậu,tỉnh Tây Ninh,28965,đang cập nhật,22775906
27Kiến Tường,phường,"Phường 1, Phường 2, Phường 3 (thị xã Kiến Tường)",26.28,Kiến Tường,tỉnh Tây Ninh,23738,đang cập nhật,25231379
15Tô Hiệu,phường,"Phường Quyết Thắng, Phường Quyết Tâm, Phường Chiềng Lề, Phường Tô Hiệu",11.92,Tô Hiệu,tỉnh Sơn La,51293,"Số 89, đường Lê Thái Tông, phường Tô Hiệu, tỉnh Sơn La",12064560
15Chiềng Cơi,phường,"Phường Chiềng Cơi, Xã Hua La, Xã Chiềng Cọ",93.56,Chiềng Cơi,tỉnh Sơn La,22694,"Số 55, đường Hoàng Quốc Việt, phường Chiềng Cơi, tỉnh Sơn La.",94800054
15Chiềng An,phường,"Phường Chiềng An, Xã Chiềng Xôm, Xã Chiềng Đen",149.08,Chiềng An,tỉnh Sơn La,20322,"Bản Bó, phường Chiềng An, tỉnh Sơn La.",150980896
15Chiềng Sinh,phường,"Phường Chiềng Sinh, Xã Chiềng Ngần",68.4,Chiềng Sinh,tỉnh Sơn La,27099,"Điểm tiếp nhận tại trụ sở chính: Số 486, đường Lê Duẩn, Tổ 3, phường Chiềng Sinh, tỉnh Sơn La
Điểm tiếp nhận tại trụ sở UBND xã Chiềng Ngần (cũ): Bản Phường, phường Chiềng Sinh, tỉnh Sơn La",69220959
15Mộc Sơn,phường,"Phường Đông Sang, Phường Mộc Sơn",37.88,Mộc Sơn,tỉnh Sơn La,15025,"Tổ dân phố 4, phường Mộc Sơn, tỉnh Sơn La",38413586
15Thảo Nguyên,phường,"Phường Cờ Đỏ, Phường Thảo Ngu yên",53.09,Thảo Nguyên,tỉnh Sơn La,22479,"Tổ dân phố 40, phường Thảo Nguyên, tỉnh Sơn La",53666533
17Thái Hòa,phường,"Phường Hòa Hiếu, Phường Long Sơn, Phường Quang Phong",27.09,Thái Hòa,tỉnh Nghệ An,26916,UBND thị xã Thái Hòa,27103078
17Tây Hiếu,phường,"Phường Quang Tiến, Xã Nghĩa Tiến, Xã Tây Hiếu",43.96,Tây Hiếu,tỉnh Nghệ An,24698,UBND phường Quang Tiến,44635645
17Hoàng Mai,phường,"Phường Quỳnh Thiện, Xã Quỳnh Trang, Xã Quỳnh Vinh",79.67,Hoàng Mai,tỉnh Nghệ An,44474,UBND phường Quỳnh Thiện,80447936
17Tân Mai,phường,"Phường Quỳnh Dị, Xã Quỳnh Lập, Xã Quỳnh Lộc",51.61,Tân Mai,tỉnh Nghệ An,33894,UBND thị xã Hoàng Mai,51344242
17Quỳnh Mai,phường,"Phường Mai Hùng, Phường Quỳnh Phương, Phường Quỳnh Xuân, Xã Quỳnh Liên",40.5,Quỳnh Mai,tỉnh Nghệ An,57988,UBND phường Mai Hùng,40510827
17Trường Vinh,phường,"Phường Bến Thủy, Phường Hưng Dũng, Phường Hưng Phúc, Phường Trung Đô, Phường Trường Thi, Phường Vinh Tân, Xã Hưng Hòa",34.22,Trường Vinh,tỉnh Nghệ An,141477,UBND phường Trường Thi,34317612
17Vinh Lộc,phường,"Phường Hưng Lộc, Xã Nghi Phong, Xã Nghi Thái, Xã Nghi Xuân, Xã Phúc Thọ",38.86,Vinh Lộc,tỉnh Nghệ An,68086,UBND phường Hưng Lộc,38813805
17Cửa Lò,phường,"Phường Nghi Hải, Phường Nghi Hòa, Phường Nghi Hương, Phường Nghi Tân, Phường Nghi Thu, Phường Nghi Thủy, Xã Thu Thủy",29.09,Cửa Lò,tỉnh Nghệ An,64760,UBND thị xã Cửa Lò,26193842
17Thành Vinh,phường,"Phường Cửa Nam, Phường Đông Vĩnh, Phường Hưng Bình, Phường Lê Lợi, Phường Quang Trung, Xã Hưng Chính",15.54,Thành Vinh,tỉnh Nghệ An,123507,UBND TP Vinh,15689084
17Vinh Phú,phường,"Phường Hà Huy Tập, Phường Nghi Đức, Phường Nghi Phú, Xã Nghi Ân",23.04,Vinh Phú,tỉnh Nghệ An,74473,UBND phường Nghi Phú,23067531
17Vinh Hưng,phường,"Phường Hưng Đông, Phường Quán Bàu, Xã Nghi Kim, Xã Nghi Liên",25.47,Vinh Hưng,tỉnh Nghệ An,60159,UBND xã Nghi Kim,25665945
12Vân Phú,phường,"Phường Vân Phú, Xã Phượng Lâu, Xã Hùng Lô, Xã Kim Đức",26.26,Vân Phú,tỉnh Phú Thọ,37450,"Đường Trường Chinh, khu 3, phường Vân Phú, tỉnh Phú Thọ (trụ sở UBND phường Vân Phú)",26319034
12Nông Trang,phường,"Phường Minh Phương, Phường Nông Trang, Xã Thụy Vân",15.89,Nông Trang,tỉnh Phú Thọ,57770,"- Trụ sở UBND và Trung tâm Hành chính công: Phố Đốc Ngữ, phường Nông Trang, tỉnh Phú Thọ (Trụ sở phường Minh Phương cũ) - Trụ sở Đảng ủy: 1686 đại lộ Hùng Vương, phường Nông Trang, tỉnh Phú Thọ (Trụ sở phường Nông Trang cũ)",15918952
12Âu Cơ,phường,"Phường Thanh Vinh, Phường Âu Cơ, Xã Thanh Minh",12.51,Âu Cơ,tỉnh Phú Thọ,18951,"Số 64 Bạch Đằng, phường Âu Cơ, tỉnh Phú Thọ (Trụ sở UBND thị xã Phú Thọ cũ)",12631649
12Phú Thọ,phường,"Phường Hùng Vương (thị xã Phú Thọ), Xã Văn Lung, Xã Hà Lộc",23.07,Phú Thọ,tỉnh Phú Thọ,27957,"Đảng ủy và MTTQ: Số 198 đường Nguyễn Tất Thành, phường Phú Thọ (Trụ sở Thị ủy Phú Thọ cũ)
HĐND và UBND: Số 200 đường Nguyễn Tất Thành, phường Phú Thọ (Trường Đại học Hùng Vương cũ)
Trung tâm hành chính công: Số 210 đường Nguyễn Tất Thành, phường Phú Thọ (Trụ sở UBND phường Hùng Vương cũ)",23346558
12Phong Châu,phường,"Phường Phong Châu, Xã Phú Hộ, Xã Hà Thạch",29.61,Phong Châu,tỉnh Phú Thọ,32519,"Đảng ủy-HĐND-UBND-MTTQ: Đường quốc lộ 2, phường Phong Châu (Trụ sở UBND xã Phú Hộ cũ)
Trung tâm Hành chính công: Đường sông Hồng, khu dân cư Phú Hà, phường Phong Châu, tỉnh Phú Thọ (Trụ sở UBND phường Phong Châu cũ)",29878299
12Thanh Miếu,phường,"Phường Thọ Sơn, Phường Tiên Cát, Phường Bạch Hạc, Phường Thanh Miếu, Xã Sông Lô",19.57,Thanh Miếu,tỉnh Phú Thọ,58548,"Đường Nguyễn Tất Thành, phường Thanh Miếu, tỉnh Phú Thọ (Trung tâm Thanh thiếu nhi Hùng Vương)",19501810
